0,1,2,song_start,same_song
19th Floor - Bobby Richards,"[-0.02708551 -0.01524549 -0.01482627 ... -0.08778409 -0.11014347
 -0.09898327]",0,0,0
19th Floor - Bobby Richards,"[ 5.7658415e-02  4.8729025e-02  1.7981315e-02 ... -2.1051521e-05
 -2.1187298e-05 -2.5471534e-05]",1,0,0
2022 로스트아크 콘서트,[0.         0.         0.         ... 0.06729286 0.05414636 0.0439667 ],2,2,619
2022 로스트아크 콘서트,"[-0.05306087 -0.04457686 -0.03623273 ... -0.102488   -0.09885862
 -0.05530716]",3,2,619
2022 로스트아크 콘서트,"[-0.15277052 -0.17711389 -0.16179313 ... -0.0895998  -0.12681155
 -0.12036835]",4,2,619
2022 로스트아크 콘서트,"[-0.16602284 -0.2221396  -0.25725356 ...  0.13070403  0.08751109
  0.05514016]",5,2,619
2022 로스트아크 콘서트,[0.02799997 0.0312327  0.05414768 ... 0.13464299 0.14054763 0.10360169],6,2,619
A Fool's Theme - Brian Bolger,"[ 0.00060201  0.00052418 -0.0002046  ... -0.10082359 -0.09219134
 -0.07707056]",7,7,7
A Fool's Theme - Brian Bolger,"[-0.06470464 -0.06004003 -0.04967964 ...  0.08229458  0.10035211
  0.10680154]",8,7,7
A Year Ago (Instrumental) - NEFFEX,"[-1.8545428e-06 -1.6032608e-06 -1.4153736e-06 ...  8.3732426e-02
  9.6765667e-02  8.0126576e-02]",9,9,9
A Year Ago (Instrumental) - NEFFEX,[0.13235484 0.184163   0.15812248 ... 0.27016053 0.24397294 0.21038833],10,9,9
A Year Ago - NEFFEX,"[-0.00145911 -0.00122926 -0.0009615  ... -0.13346133 -0.16843341
 -0.18501617]",11,11,11
A Year Ago - NEFFEX,"[-0.15130483 -0.17654146 -0.19019152 ... -0.2656834  -0.34364372
 -0.2909041 ]",12,11,11
Addict (Instrumental) - NEFFEX,"[ 0.          0.          0.         ... -0.0192368  -0.0441573
 -0.03625841]",13,13,13
Addict (Instrumental) - NEFFEX,"[-0.04769074 -0.05976686 -0.04328287 ...  0.13147463  0.18569162
  0.15858498]",14,13,13
Addict (Instrumental) - NEFFEX,"[ 0.08978061  0.11201028  0.11395765 ... -0.45922744 -0.4210788
 -0.35670212]",15,13,13
Addict - NEFFEX,"[-2.9722534e-05  1.4111446e-05  5.1005150e-05 ...  3.8239636e-02
  1.0763191e-01  1.2458506e-01]",16,16,16
Addict - NEFFEX,"[ 0.0731374   0.10937262  0.1217468  ... -0.11130222 -0.11344986
 -0.09488109]",17,16,16
Addict - NEFFEX,"[-0.02431114 -0.03787983 -0.05702722 ... -0.13489124 -0.12693928
 -0.10170256]",18,16,16
Anomalous Hedges - Mini Vandals,"[ 5.9574049e-05  7.5286633e-05  6.0801303e-05 ... -4.1402988e-02
 -2.8789589e-02 -1.3585445e-02]",19,19,19
Anomalous Hedges - Mini Vandals,"[-0.01709103 -0.01415396 -0.00916891 ...  0.04038052  0.04311583
  0.04229186]",20,19,19
Anomalous Hedges - Mini Vandals,"[-0.01810828 -0.01855708 -0.01915801 ... -0.15973675 -0.14570434
 -0.12716533]",21,19,19
Anomalous Hedges - The Mini Vandals,"[ 5.9574049e-05  7.5286633e-05  6.0801303e-05 ... -4.1402988e-02
 -2.8789589e-02 -1.3585445e-02]",22,22,22
Anomalous Hedges - The Mini Vandals,"[-0.01709103 -0.01415396 -0.00916891 ...  0.04038052  0.04311583
  0.04229186]",23,22,22
Anomalous Hedges - The Mini Vandals,"[-0.01810828 -0.01855708 -0.01915801 ... -0.15973675 -0.14570434
 -0.12716533]",24,22,22
As You Fade Away - NEFFEX,"[-0.00121245 -0.00068652 -0.00034479 ...  0.06794032  0.01766791
 -0.00940134]",25,25,25
As You Fade Away - NEFFEX,"[ 0.20032862  0.24608253  0.26728234 ... -0.00212767 -0.00140353
 -0.0036061 ]",26,25,25
As You Fade Away - NEFFEX,"[-0.0599934  -0.04927389 -0.04520252 ...  0.02179427 -0.09808891
 -0.14827216]",27,25,25
As You Fade Away - NEFFEX,"[ 0.01057904  0.02342549  0.05123384 ... -0.016402    0.00614081
  0.01812425]",28,25,25
Awful - josh pan,"[ 0.00010501  0.00010627  0.0001032  ... -0.10269066 -0.09722699
 -0.09153426]",29,29,29
Awful - josh pan,"[-0.09711915 -0.09769306 -0.09810134 ... -0.01715373 -0.01968816
 -0.02061344]",30,29,29
Awful - josh pan,"[-0.00046693 -0.00023979  0.00097951 ... -0.13642997 -0.13819543
 -0.11139775]",31,29,29
Backwoods BBQ - Chris Haugen,"[2.6488555e-05 3.9429586e-05 4.0618379e-05 ... 7.8946196e-02 8.0193192e-02
 6.0387928e-02]",32,32,32
Bay Street Billionaires - Squadda B,"[-7.0094691e-05 -7.1682174e-05 -7.5607248e-05 ...  1.3169120e-01
  1.5300491e-01  1.3193232e-01]",33,33,33
Bay Street Billionaires - Squadda B,"[ 0.13160565  0.13202533  0.10659055 ... -0.24047883 -0.12004567
 -0.04983461]",34,33,33
Baym Rebin in Palestina - E's Jammy Jams,"[ 0.0000000e+00  2.2711843e-17 -1.7805972e-16 ...  6.9550410e-02
  6.6265196e-02  5.7868745e-02]",35,35,35
Baym Rebin in Palestina - E's Jammy Jams,"[ 0.00919256  0.00521742 -0.00221817 ...  0.09142862  0.07555102
  0.0499738 ]",36,35,35
Baym Rebin in Palestina - E's Jammy Jams,[0.04492266 0.05128146 0.04122494 ... 0.14589955 0.15757151 0.15191442],37,35,35
Baym Rebin in Palestina - E's Jammy Jams,"[ 0.13015339  0.14309594  0.11004183 ... -0.01026234 -0.01329379
 -0.01401624]",38,35,35
Baym Rebin in Palestina - E's Jammy Jams,"[-9.2639262e-03 -1.0887117e-02 -1.2887599e-02 ...  6.3148555e-08
  1.0908631e-07  2.5772485e-07]",39,35,35
Believe (Instrumental) - NEFFEX,"[-1.6046181e-09  4.1735596e-10  1.3177507e-09 ... -1.2450498e-02
 -1.3005921e-02 -1.0662127e-02]",40,40,40
Believe (Instrumental) - NEFFEX,"[-0.06170404 -0.0669254  -0.06430255 ...  0.15026599  0.19035523
  0.14879656]",41,40,40
Believe - NEFFEX,"[-4.3612796e-05 -3.1730204e-05 -6.3862506e-05 ...  9.3772665e-02
  8.4931642e-02  6.6792108e-02]",42,42,42
Believe - NEFFEX,[0.08367356 0.12684514 0.11202589 ... 0.24637581 0.23519221 0.21615717],43,42,42
Birdseye Blues - Chris Haugen,"[4.0339582e-06 7.8595285e-06 1.9533849e-05 ... 3.6166905e-04 1.4544150e-02
 2.5514709e-02]",44,44,44
Bite Me (Clean) - NEFFEX,"[ 0.00024721  0.00028948  0.00028122 ... -0.14127935 -0.16784608
 -0.15935282]",45,45,45
Bite Me (Clean) - NEFFEX,"[-0.10212509 -0.1150859  -0.11010318 ...  0.04073711  0.04972607
  0.03017359]",46,45,45
Bite Me (Clean) - NEFFEX,"[ 0.03206196  0.05167262  0.06652039 ... -0.00565143  0.03904137
  0.05507217]",47,45,45
Bite Me (Instrumental) - NEFFEX,"[ 0.00032649  0.00038416  0.00042754 ... -0.01159229 -0.00994787
 -0.00611689]",48,48,48
Bite Me (Instrumental) - NEFFEX,"[-0.00124266  0.00071688  0.00131606 ...  0.00124246 -0.00063607
 -0.00084637]",49,48,48
Bite Me (Instrumental) - NEFFEX,"[-0.00132741 -0.00340148 -0.00674914 ...  0.11681981  0.11808685
  0.09177846]",50,48,48
Bite Me - NEFFEX,"[-0.01670296 -0.01434871 -0.01414082 ... -0.24284686 -0.2445975
 -0.18894029]",51,51,51
Bite Me - NEFFEX,"[-0.18363443 -0.17414244 -0.10988931 ... -0.00492053 -0.01471696
 -0.01125147]",52,51,51
Bite Me - NEFFEX,"[-0.02302183 -0.01360772  0.02564386 ...  0.420109    0.45484227
  0.4128225 ]",53,51,51
Black Mass - Brian Bolger,"[2.8723864e-08 3.4820815e-08 3.0586548e-08 ... 1.2573615e-02 1.2828770e-02
 1.4161389e-02]",54,54,54
Black Mass - Brian Bolger,"[-0.02833743 -0.030626   -0.0334789  ...  0.21052215  0.19053207
  0.15893984]",55,54,54
Blue Day - Freedom Trail Studio,"[ 2.0017884e-05 -8.7601720e-06  2.7685028e-06 ... -3.8722351e-01
 -4.5874289e-01 -3.5184571e-01]",56,56,56
Blue Day - Freedom Trail Studio,"[-0.27287868 -0.3161672  -0.28524134 ...  0.04173721 -0.02479614
 -0.05446654]",57,56,56
Blue Mood - Robert Munzinger,"[-0.01418483 -0.01455351 -0.01454314 ... -0.09597283 -0.09045433
 -0.08297259]",58,58,58
Blue Mood - Robert Munzinger,"[-0.09676364 -0.10448188 -0.09351934 ...  0.00579775  0.00057734
 -0.00242962]",59,58,58
Blue Mood - Robert Munzinger,"[-0.01951554 -0.0289666  -0.03508509 ... -0.08811116 -0.08599683
 -0.08286768]",60,58,58
Blue Mood - Robert Munzinger,"[-0.06368206 -0.07162855 -0.08553785 ...  0.02721635  0.02859826
  0.02723191]",61,58,58
Blue Mood - Robert Munzinger,[0.02764858 0.02880523 0.02458627 ... 0.13818406 0.14633957 0.14199547],62,58,58
Blue Mood - Robert Munzinger,[0.09863357 0.11766061 0.10568059 ... 0.00660196 0.00611607 0.00535648],63,58,58
Bonfire - An Jone,"[ 4.1867932e-04  3.3011351e-04  2.9763416e-04 ... -3.1129363e-01
 -2.9032308e-01 -2.6351911e-01]",64,64,64
Bonfire - An Jone,"[-0.09464879 -0.11341555 -0.12393675 ...  0.21342643  0.20000449
  0.17377606]",65,64,64
Bonfire - An Jone,[0.19819741 0.20892632 0.21760552 ... 0.05956107 0.05746795 0.05398802],66,64,64
Bop Walker - Freedom Trail Studio,"[ 1.4471475e-05 -3.0494950e-06 -1.2442432e-05 ...  1.0373564e-02
 -3.4100078e-03 -1.4528292e-02]",67,67,67
Bop Walker - Freedom Trail Studio,"[-0.03524064 -0.01739517 -0.01638193 ... -0.01162643 -0.00192849
  0.00416907]",68,67,67
Born a Rockstar (Instrumental) - NEFFEX,"[-7.8051133e-05 -7.6845019e-05 -6.4865155e-05 ...  1.9443633e-01
  2.2926341e-01  2.1468396e-01]",69,69,69
Born a Rockstar (Instrumental) - NEFFEX,"[ 0.06898364  0.12276036  0.11320832 ... -0.39034787 -0.38722166
 -0.32833642]",70,69,69
Born a Rockstar (Instrumental) - NEFFEX,"[-0.27032852 -0.34118372 -0.3791426  ... -0.16418856 -0.1640476
 -0.15861143]",71,69,69
Born a Rockstar - NEFFEX,"[-0.00634929 -0.00901274 -0.0100892  ...  0.44421133  0.5084648
  0.4129793 ]",72,72,72
Born a Rockstar - NEFFEX,[0.20803018 0.21129237 0.21032669 ... 0.37186328 0.36290574 0.29675496],73,72,72
Born a Rockstar - NEFFEX,"[ 0.2994916   0.34517264  0.37757888 ... -0.3854334  -0.3889069
 -0.33082783]",74,72,72
Break Your Lock and Key - Mini Vandals,"[-1.4475566e-05 -1.4656416e-05 -1.6004541e-06 ... -1.2578587e-01
 -1.2789655e-01 -1.0655451e-01]",75,75,75
Break Your Lock and Key - Mini Vandals,"[-0.06071074 -0.07618319 -0.0852026  ...  0.10252833  0.10794051
  0.07985053]",76,75,75
Breatha - josh pan,"[ 0.00144355  0.00140255  0.00134627 ... -0.10796867 -0.1156846
 -0.11761676]",77,77,77
Breatha - josh pan,"[ 0.02080824  0.02022208  0.01638062 ... -0.00095459 -0.00288649
 -0.00262912]",78,77,77
Breatha - josh pan,"[-5.8969888e-03 -6.6433786e-03 -2.3083373e-03 ...  3.3567842e-06
  1.0989188e-05  3.4350262e-06]",79,77,77
Breeze - Telecasted,"[-1.8786152e-06 -1.1949246e-04 -2.3598722e-04 ... -9.2198074e-02
 -1.2667263e-01 -1.0356889e-01]",80,80,80
Breeze - Telecasted,"[-0.07816522 -0.1013491  -0.10345056 ... -0.02208243 -0.03368541
 -0.03082022]",81,80,80
Broken Ladder - Jeremy Black,"[ 4.4916858e-05  5.0596936e-05  1.2668948e-05 ... -5.5205770e-02
 -7.0755854e-02 -6.2981106e-02]",82,82,82
Broken Ladder - Jeremy Black,"[-0.04137126 -0.05540703 -0.05723823 ...  0.05651476  0.05339693
  0.01475405]",83,82,82
Broken Ladder - Jeremy Black,"[-0.10908651 -0.15214686 -0.17849584 ...  0.07603546  0.11790362
  0.09751697]",84,82,82
Broken Ladder - Jeremy Black,[0.04540678 0.07513984 0.07414005 ... 0.29249626 0.3270546  0.23210317],85,82,82
BSC State of Mind - Squadda B,"[-0.00079185 -0.00011879  0.00020047 ... -0.00381961 -0.00129564
  0.00051578]",86,86,86
BSC State of Mind - Squadda B,"[-0.00152623  0.0003533   0.00312803 ... -0.00066333 -0.00063686
 -0.00054122]",87,86,86
Built to Last (Instrumental) - NEFFEX,"[ 0.          0.          0.         ... -0.04109675 -0.02986533
 -0.01678809]",88,88,88
Built to Last (Instrumental) - NEFFEX,"[-0.01743834 -0.01941649 -0.02005922 ... -0.09340505 -0.08063991
 -0.07088327]",89,88,88
Burbank Late Nights - Squadda B,"[ 0.00200139  0.00181041  0.00135232 ... -0.03574901 -0.01229973
 -0.00130037]",90,90,90
Burbank Late Nights - Squadda B,"[ 0.05844398  0.07257253  0.07627726 ... -0.03223825 -0.00737013
  0.00203731]",91,90,90
Busy City - TrackTribe,"[-0.02038874 -0.0229548  -0.02372148 ... -0.01799834 -0.02395702
 -0.02578708]",92,92,92
Busy City - TrackTribe,"[-0.00725    -0.0031853   0.01296058 ...  0.01672102  0.00195343
  0.00595306]",93,92,92
By the Fireplace - TrackTribe,"[-0.00069078 -0.00102949 -0.00081029 ...  0.00042183 -0.00085031
 -0.00197463]",94,94,94
By the Fireplace - TrackTribe,"[-0.00787386 -0.00972801 -0.00948632 ...  0.01316079  0.01513254
  0.01487967]",95,94,94
By the Fireplace - TrackTribe,"[ 0.01798716  0.02251787  0.02376347 ... -0.00268684 -0.00249259
 -0.00089762]",96,94,94
By the Fireplace - TrackTribe,"[-1.1311589e-04  5.5425632e-04  6.0342045e-05 ...  4.0082601e-03
  2.1590465e-03  2.0460036e-04]",97,94,94
Campfire - Telecasted,"[-2.8794835e-05 -2.8499942e-05 -2.8124605e-05 ... -3.9200459e-02
 -4.5464400e-02 -4.7460347e-02]",98,98,98
Cattle - Telecasted,"[ 5.4622313e-05  4.8229984e-05  4.5732813e-05 ... -4.7315750e-02
 -6.4578243e-02 -5.8961719e-02]",99,99,99
"Chasing the Dragons - Joel Cummins, Kris Myers, Andy Farag","[ 2.83315840e-05 -1.43137959e-05 -2.98671821e-05 ... -7.42470622e-02
 -9.42025706e-02 -1.03547476e-01]",100,100,100
Chocolate Cookie Jam - An Jone,"[ 8.0213806e-07 -1.1990167e-07  1.2959167e-06 ... -4.8571639e-02
 -5.9953421e-02 -7.0461638e-02]",101,101,101
Chocolate Cookie Jam - An Jone,"[-0.0563179  -0.08156288 -0.09570336 ...  0.02032102  0.02035188
  0.00993668]",102,101,101
Chocolate Cookie Jam - An Jone,"[ 0.01701899  0.02474662  0.02986402 ... -0.18673481 -0.1895155
 -0.1357522 ]",103,101,101
Clean and Dance - An Jone,"[ 7.0915041e-07 -1.1265566e-06  1.4051086e-06 ... -4.4157301e-04
 -5.4683385e-04 -5.6619442e-04]",104,104,104
Clean and Dance - An Jone,[0.15400541 0.13518095 0.09574901 ... 0.09402462 0.10502274 0.08517709],105,104,104
Clean and Dance - An Jone,"[ 0.09783192  0.10065487  0.10127866 ... -0.11184859 -0.11526266
 -0.10676274]",106,104,104
Commander Impulse - DivKid,"[ 0.01401568  0.00432639 -0.01136378 ... -0.1384274  -0.15104537
 -0.12783584]",107,107,107
Commander Impulse - DivKid,"[-0.0702859  -0.07482523 -0.06780136 ...  0.00089167  0.0110157
  0.01538823]",108,107,107
Commander Impulse - DivKid,"[-0.04099212 -0.0462865  -0.04957898 ... -0.00021053 -0.000191
 -0.00025239]",109,107,107
Cosmic Drift - DivKid,[0.13554105 0.13893509 0.13985775 ... 0.06232253 0.10018675 0.11970538],110,110,110
Cosmic Drift - DivKid,"[ 0.00056704 -0.02459853 -0.01033709 ...  0.04164085  0.03907729
  0.03639689]",111,110,110
County Lines - Telecasted,"[-7.1797003e-05 -7.2396091e-05 -6.0908642e-05 ... -1.6523559e-01
 -1.6116397e-01 -1.3667722e-01]",112,112,112
County Lines - Telecasted,"[-0.06620006 -0.06144788 -0.02872368 ...  0.05721163  0.06807042
  0.06882708]",113,112,112
Crops - Telecasted,"[-5.6986297e-05 -5.8788974e-05 -5.8031655e-05 ... -2.9729089e-02
 -3.4907471e-02 -2.8748700e-02]",114,114,114
Crops - Telecasted,"[-0.10800216 -0.10623174 -0.0952981  ...  0.24419203  0.18364482
  0.11587953]",115,114,114
Cumbia City - An Jone,"[ 1.0514476e-05 -1.0047316e-06 -9.7169659e-06 ...  6.6802040e-02
  6.5253951e-02  4.6432853e-02]",116,116,116
Dead Forest - Brian Bolger,"[ 0.04202894  0.0501801   0.05416669 ... -0.09646953 -0.100409
 -0.09123636]",117,117,117
Dead Forest - Brian Bolger,"[-0.0786577  -0.08717874 -0.0917495  ...  0.02036366  0.02286156
  0.02463918]",118,117,117
Depth Fuse - French Fuse,[0.         0.         0.         ... 0.059868   0.06359527 0.04956679],119,119,119
Der König - Jeremy Black,"[-0.00429424 -0.00466261 -0.00185428 ...  0.00038589  0.00143702
  0.00144547]",120,120,120
Der König - Jeremy Black,"[ 0.00766279  0.01004279  0.01486384 ... -0.14989658 -0.12769067
 -0.0796281 ]",121,120,120
Der König - Jeremy Black,"[-0.04024091 -0.04077069 -0.04842957 ...  0.00016044  0.00021249
  0.00030166]",122,120,120
Digifunk - DivKid,[0.00560431 0.00555526 0.00513534 ... 0.06791772 0.07257817 0.06364168],123,123,123
Digifunk - DivKid,[0.0428348  0.0584626  0.06269681 ... 0.06775095 0.07056647 0.05679461],124,123,123
Digifunk - DivKid,[0.04241688 0.03991665 0.05097812 ... 0.03054332 0.02910221 0.02884061],125,123,123
Digital Ghosts - Unicorn Heads,"[-0.06351357 -0.0623543  -0.06112658 ... -0.02037021 -0.02541769
 -0.02859343]",126,126,126
Digital Ghosts - Unicorn Heads,"[ 0.13664436  0.13760747  0.13793902 ... -0.02541164 -0.02596511
 -0.0242193 ]",127,126,126
Digital Ghosts - Unicorn Heads,"[-0.02740332 -0.02924294 -0.02992    ...  0.00877407  0.01512385
  0.01640699]",128,126,126
Digital Ghosts - Unicorn Heads,"[ 0.0283253   0.03584981  0.03739281 ... -0.06585202 -0.05688281
 -0.0457297 ]",129,126,126
Digital Ghosts - Unicorn Heads,"[-0.01503775 -0.01581834 -0.01402327 ...  0.091626    0.0871198
  0.06646319]",130,126,126
Digital Ghosts - Unicorn Heads,"[ 0.10410172  0.1237293   0.1268443  ... -0.26722848 -0.24987407
 -0.22562987]",131,126,126
Digital Ghosts - Unicorn Heads,"[-0.10703693 -0.12314107 -0.13337079 ... -0.04188762 -0.03573088
 -0.02778361]",132,126,126
Disco Climax - An Jone,"[-0.00099497 -0.0007561  -0.00032459 ... -0.00397155 -0.00750872
 -0.00670736]",133,133,133
Disco Climax - An Jone,"[-0.0212646  -0.02883435 -0.02749948 ...  0.01555449  0.01773546
  0.01707979]",134,133,133
Disco Climax - An Jone,[0.06999747 0.08164526 0.08613494 ... 0.11564988 0.11443816 0.09489097],135,133,133
Don't Wanna Let Myself Down (Instrumental) - NEFFEX,"[-1.0786271e-05  2.1413011e-07  1.2819087e-05 ... -9.1265673e-03
  1.2547609e-02  2.2691330e-02]",136,136,136
Don't Wanna Let Myself Down (Instrumental) - NEFFEX,"[-0.00898947  0.01275579  0.07578874 ...  0.18405908  0.19173075
  0.16887501]",137,136,136
Don't Wanna Let Myself Down - NEFFEX,"[ 0.00149582  0.00060557 -0.00032407 ... -0.20458321 -0.22818573
 -0.22140726]",138,138,138
Don't Wanna Let Myself Down - NEFFEX,"[-0.14230064 -0.19562277 -0.1334448  ...  0.03573195  0.03471317
  0.03008991]",139,138,138
Down With Your Getup - Mini Vandals,"[-8.9248679e-05 -3.0671639e-04 -9.0603367e-05 ...  7.8627532e-03
  3.6406573e-03 -2.1914593e-03]",140,140,140
Down With Your Getup - Mini Vandals,"[ 0.2086314   0.22064568  0.23245612 ... -0.05157883 -0.083735
 -0.08352931]",141,140,140
Dragón Rojo - Mini Vandals,"[-0.00762772 -0.00712542 -0.00651083 ... -0.01192108 -0.01542667
 -0.01781156]",142,142,142
Dragón Rojo - The Mini Vandals,"[-0.00762772 -0.00712542 -0.00651083 ... -0.01192108 -0.01542667
 -0.01781156]",143,143,143
Dreaming On (Instrumental) - NEFFEX,"[8.2830602e-06 7.4566756e-06 4.7979274e-06 ... 3.5502050e-02 3.8612414e-02
 3.3491161e-02]",144,144,144
Dreaming On (Instrumental) - NEFFEX,"[ 0.07086248  0.10188021  0.11461569 ... -0.2249043  -0.23810655
 -0.22145836]",145,144,144
Dreaming On - NEFFEX,"[ 0.00390566  0.00471921  0.00499384 ... -0.07768654 -0.07880791
 -0.06889747]",146,146,146
