19th Floor - Bobby Richards,[0.22560193 0.23475027 0.2417051  ... 0.10270038 0.10002589 0.09190871]
19th Floor - Bobby Richards,"[2.8177333e-01 3.2364124e-01 3.5292023e-01 ... 4.0892784e-05 3.9189228e-05
 3.3120450e-05]"
2022 로스트아크 콘서트,[0.         0.         0.         ... 0.23307602 0.22962722 0.19995141]
2022 로스트아크 콘서트,[0.15611647 0.18137793 0.2119549  ... 0.19696817 0.20741086 0.17466396]
2022 로스트아크 콘서트,[0.18059786 0.23135366 0.25222844 ... 0.22035329 0.22025469 0.18291046]
2022 로스트아크 콘서트,[0.1876324  0.22526474 0.2409447  ... 0.2140118  0.20838833 0.17648186]
2022 로스트아크 콘서트,[0.14008686 0.21518624 0.24122734 ... 0.19936897 0.21435119 0.18370275]
A Fool's Theme - Brian Bolger,[0.0050888  0.00514095 0.00514513 ... 0.15903246 0.16603398 0.14657237]
A Fool's Theme - Brian Bolger,[0.13014464 0.16494603 0.18684037 ... 0.1635018  0.15564148 0.13609976]
A Year Ago (Instrumental) - NEFFEX,"[6.7434956e-07 7.1907537e-03 4.0590163e-02 ... 1.9034471e-01 2.0359881e-01
 1.7042518e-01]"
A Year Ago (Instrumental) - NEFFEX,[0.12488369 0.15599257 0.19944286 ... 0.17846955 0.19956371 0.1789745 ]
A Year Ago - NEFFEX,[0.02280347 0.04560978 0.05991811 ... 0.17337738 0.18850337 0.16185287]
A Year Ago - NEFFEX,[0.18797572 0.24131492 0.2731137  ... 0.24959628 0.26101664 0.23220024]
Addict (Instrumental) - NEFFEX,[0.         0.         0.         ... 0.26624665 0.22967298 0.15710846]
Addict (Instrumental) - NEFFEX,[0.10213991 0.18811572 0.29802582 ... 0.08575127 0.07558472 0.06262241]
Addict (Instrumental) - NEFFEX,[0.07098848 0.09041747 0.09924794 ... 0.37225097 0.364696   0.34070298]
Addict - NEFFEX,"[9.4850453e-05 1.1894578e-04 1.3791850e-04 ... 2.4128918e-01 2.3183891e-01
 1.9713049e-01]"
