0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
19th Floor - Bobby Richards,2460.1403546038136,1519894.309545786,0.8916316,18.595034,-0.000201609,0.0013876635,0.015156324,0.0030695894,120.18531976744184,0.52486145,0.14154942,0.5375332,0.13437146,0.5310689,0.12682255,0.5027492,0.13742122,0.48563614,0.13188621,0.48745745,0.131029,0.51844895,0.13936299,0.4971172,0.13116501,0.50030965,0.14316721,0.46109915,0.12958042,0.465306,0.12880531,0.5155217,0.13957046,0.51139504,0.1404255,0.47953752,0.13047916,0.5181628,0.13695145,0.5256364,0.12842658,0.52509236,0.14167769,0.5047972,0.13807678,0.542675,0.13307746,0.49224177,0.15330067,0.52645963,0.15268168,0.5035365,0.1533036,0.55745876,0.16079429,0.5224635,0.1652595,0.4963328,0.16244385,0.52136075,0.1567643,0.52389073,0.14971955,0.5080013,0.14651544,0.4947464,0.15842149,0.5069695,0.16363053,0.47815117,0.15740545,0.49118814,0.17691144,0.5284994,0.16193637,0.51894206,0.15702456,0.5008332,0.1515671,0.50854796,0.15385266,0.52626526,0.1562943,0.49790603,0.16216014,0.54452205,0.16143957,0.49999112,0.16479598,0.5196081,0.16486304,0.49047804,0.15598647,0.5170984,0.1585989,0.49781132,0.16892073,0.5280448,0.16441189,0.49669057,0.16287361,0.5106409,0.15088594,0.5142792,0.15951684
19th Floor - Bobby Richards,2542.1812335501068,1233144.122011461,0.9060504,18.49983,-0.00010181258,0.0013882873,0.014761903,0.0034356026,120.18531976744184,0.5333979,0.13636668,0.49848264,0.13035439,0.51700866,0.1343361,0.4839864,0.12698813,0.48152998,0.13996853,0.51139134,0.13071297,0.4850583,0.13988134,0.5246471,0.13330577,0.51412934,0.12964387,0.50408024,0.14026867,0.5180427,0.13554159,0.5036881,0.13794886,0.49348834,0.13896471,0.5367067,0.12546217,0.54826134,0.13516463,0.50682616,0.15232608,0.50438464,0.14109775,0.5265138,0.13707949,0.5174722,0.14248563,0.5332996,0.15832081,0.4977607,0.15962997,0.50461304,0.1651857,0.49938616,0.15871699,0.5293044,0.15431866,0.48704368,0.15365973,0.4900852,0.1502943,0.5312319,0.16216114,0.49299592,0.17147294,0.49562272,0.15556183,0.5304056,0.16587539,0.4686761,0.16554992,0.50572234,0.17060012,0.51831186,0.16485612,0.4832429,0.15712091,0.45719424,0.16096625,0.49840719,0.16397892,0.53753245,0.16180183,0.48418626,0.15761323,0.5281826,0.16460294,0.48000106,0.14883637,0.52668875,0.16621275,0.51234514,0.1639565,0.48428717,0.16802211,0.49133354,0.1519591,0.5172796,0.16289385,0.5069699,0.15959409,0.49110603,0.16189721,0.4859683,0.15770742
2022 로스트아크 콘서트,2307.817166070943,885782.0197540976,0.8483156,16.401688,2.6634763e-07,-1.5319887e-05,0.012144772,0.0028023075,151.99908088235293,0.47258586,0.14462653,0.4610849,0.14128318,0.49409276,0.1464745,0.49299464,0.14828843,0.4892957,0.14842796,0.49418327,0.14053756,0.46326312,0.13002712,0.5159096,0.14181207,0.47985515,0.13819607,0.4861147,0.13423367,0.48173627,0.12769979,0.4836661,0.12983103,0.51124394,0.13314304,0.52360594,0.1285217,0.4616938,0.13579503,0.52498174,0.13625641,0.49162897,0.12848958,0.48943424,0.13614438,0.44756332,0.14014629,0.5284742,0.15170053,0.48594046,0.1647102,0.48115692,0.15596788,0.48559228,0.16027012,0.5150325,0.15237789,0.4968955,0.16455947,0.53038156,0.16997382,0.49105462,0.16204506,0.494814,0.15112795,0.527799,0.14637415,0.51189566,0.15357228,0.4739438,0.16386637,0.4872636,0.1562619,0.543914,0.16275477,0.5138124,0.16330376,0.49431363,0.16767025,0.4845666,0.16500168,0.50262505,0.15648718,0.5226156,0.15079942,0.5140103,0.16613963,0.48618492,0.15589786,0.48996592,0.16771331,0.4969999,0.15748166,0.5216912,0.16579798,0.5021193,0.15874763,0.5163124,0.15575531,0.52229077,0.17196433,0.48459882,0.1571711,0.51859266,0.16643722
2022 로스트아크 콘서트,1631.8028065820445,72176.63004937828,1.5682808,30.962673,1.4620159e-06,-8.541317e-06,0.024841843,0.0046232454,156.60511363636363,0.54806274,0.14024748,0.5422288,0.14499871,0.5053424,0.13204461,0.4878196,0.15059258,0.49744272,0.13699907,0.48035076,0.13138814,0.49147746,0.14157777,0.48101452,0.14498915,0.49312496,0.13718802,0.5214731,0.13739525,0.49870268,0.13295048,0.53574544,0.14022504,0.5335899,0.1302742,0.5398725,0.14210914,0.48588997,0.14581715,0.5058006,0.13165177,0.46282652,0.14059277,0.4913937,0.1452791,0.50629836,0.1362596,0.5168741,0.17157865,0.5101702,0.1756663,0.5230867,0.15198241,0.48562247,0.15382321,0.48536843,0.15069056,0.4948078,0.15792568,0.5242112,0.16008332,0.510023,0.16284963,0.459471,0.1658928,0.5430318,0.16485932,0.49967065,0.16219336,0.47706908,0.16099489,0.5151458,0.15939651,0.48574448,0.17180018,0.48076963,0.16078849,0.51158726,0.16281416,0.49652696,0.15988067,0.5007248,0.16402741,0.46222216,0.1594235,0.52789485,0.17119196,0.49669886,0.16748224,0.48621178,0.16588226,0.51235783,0.16907835,0.47603673,0.16529654,0.48070282,0.16768846,0.50594443,0.16673173,0.50327504,0.16591907,0.5257157,0.1599857,0.49049425,0.16583383
2022 로스트아크 콘서트,1931.0484551810175,207590.61438434653,1.4996015,31.93298,-1.4007393e-06,1.7710983e-05,0.02836779,0.0038094043,75.99954044117646,0.5009178,0.13923237,0.47738412,0.14410847,0.48375446,0.13669872,0.4980365,0.13748322,0.4764706,0.12796281,0.47361806,0.124725215,0.49222672,0.14073206,0.4717245,0.14264488,0.49606344,0.13374875,0.5434704,0.1444664,0.505823,0.13876928,0.504143,0.13410252,0.49334195,0.12847151,0.4699182,0.12517498,0.45973733,0.1330038,0.52923197,0.13864402,0.50311464,0.12299694,0.52381074,0.13137172,0.51787025,0.13163276,0.4782761,0.1681604,0.51223505,0.16334024,0.46994224,0.16060893,0.49606484,0.16539702,0.50735795,0.16564189,0.5074359,0.16680852,0.4989192,0.15985303,0.47400397,0.1635871,0.48085576,0.16397038,0.46842265,0.16645241,0.5054263,0.15431958,0.49198866,0.15843745,0.51702297,0.17563155,0.46563977,0.16681454,0.5139103,0.16905575,0.5014957,0.16153085,0.45549458,0.15447554,0.47586527,0.15961449,0.49928054,0.16034791,0.47350186,0.15759057,0.5008669,0.15638185,0.50228655,0.16013977,0.4386045,0.15195961,0.50327647,0.17464392,0.5080107,0.16469848,0.54417074,0.15430045,0.4880498,0.15985513,0.46543407,0.16481355,0.50822157,0.1687576
2022 로스트아크 콘서트,1746.7535955541732,175293.51214999668,1.6862067,35.330177,2.796641e-06,4.4214445e-05,0.029038351,0.0052037407,78.30255681818181,0.4800761,0.12821251,0.5111306,0.1379339,0.4784001,0.13866825,0.4756293,0.14029072,0.47276643,0.14051123,0.50589925,0.15163562,0.47090533,0.14812312,0.4916135,0.14005473,0.49734566,0.14221795,0.48291653,0.14075604,0.48385727,0.14182112,0.48793247,0.13679141,0.46849525,0.1395486,0.4752843,0.1425726,0.50110525,0.1366047,0.48407397,0.12871088,0.49360314,0.13750245,0.5074204,0.13389376,0.4906637,0.13829209,0.50544727,0.15983614,0.4838109,0.15006447,0.48537427,0.15788539,0.49480647,0.16557294,0.47405273,0.16747418,0.43494242,0.1589841,0.5330849,0.1616758,0.53721094,0.15823802,0.50503856,0.1593259,0.5039271,0.16738686,0.49990544,0.16184318,0.4878746,0.17197229,0.5055618,0.1718651,0.4846712,0.15579824,0.48118418,0.15922622,0.5115638,0.14632761,0.49713737,0.16571578,0.49109468,0.16808215,0.48733115,0.15416019,0.4669939,0.16389658,0.51262695,0.16761786,0.49692908,0.15692332,0.43149823,0.15748134,0.49107042,0.16210708,0.49994382,0.16721559,0.46632534,0.15084665,0.5193571,0.16475637,0.47792283,0.16787447,0.54314816,0.15607317
2022 로스트아크 콘서트,1966.598018836597,94959.6166821989,1.8241131,37.114086,-1.2965346e-06,2.6880381e-05,0.033057455,0.004623144,75.99954044117646,0.48302677,0.13318351,0.50060165,0.13538009,0.4904378,0.13553645,0.4829437,0.1371842,0.49771863,0.14365505,0.47263756,0.13771658,0.5071476,0.13107091,0.45283303,0.13927095,0.4716835,0.12840788,0.48314637,0.14122029,0.484595,0.12634896,0.49901453,0.14239554,0.48379815,0.13096157,0.5056908,0.1329113,0.4948368,0.1295437,0.49586457,0.15126821,0.46374065,0.12973796,0.47808644,0.13001189,0.47065213,0.14273871,0.4502861,0.1607674,0.5217984,0.17610873,0.51089907,0.1608079,0.49073744,0.17059061,0.502234,0.15845403,0.5468964,0.16359806,0.4480525,0.16093484,0.5240755,0.16549334,0.48607904,0.16528551,0.52128994,0.16646755,0.51795423,0.15611286,0.4904255,0.1591587,0.52917993,0.15915942,0.5001749,0.17056164,0.5128428,0.1658269,0.49056754,0.16020575,0.5101426,0.16830638,0.48576245,0.16377538,0.50484943,0.16829011,0.47717553,0.15867439,0.5273051,0.15491234,0.4781619,0.15566637,0.5149563,0.15931538,0.5038193,0.17596892,0.50564635,0.16837046,0.49719667,0.17047122,0.4980386,0.15899673,0.49119776,0.17025009,0.54312295,0.16365755
A Fool's Theme - Brian Bolger,1455.1290593016893,653636.626745077,0.62828976,14.257398,-3.2157098e-07,-1.7773184e-06,0.016718732,0.00041343176,99.38401442307692,0.4589368,0.13714391,0.4848302,0.12566048,0.5044653,0.13606021,0.49319527,0.13402629,0.51163995,0.12794468,0.5531717,0.13441439,0.48662952,0.13166006,0.51776385,0.12939577,0.52888036,0.1331873,0.508764,0.12842797,0.5126756,0.13241985,0.5362241,0.13294856,0.5139345,0.13418987,0.48661274,0.13280387,0.505913,0.13251261,0.5161382,0.13169616,0.5305701,0.12717669,0.5278566,0.12453626,0.50371164,0.12910482,0.5442917,0.16634846,0.5498751,0.1586928,0.51705617,0.15717073,0.48905262,0.16113064,0.5217056,0.16501851,0.5071729,0.17888168,0.5108777,0.1750514,0.52123576,0.16649367,0.5321282,0.1596891,0.4921164,0.16463271,0.47631568,0.16537447,0.51173466,0.16889566,0.5005007,0.16267578,0.47589818,0.16494823,0.5000966,0.1606889,0.50451165,0.16863313,0.5004612,0.16192326,0.5362194,0.15816535,0.49925175,0.15716064,0.53147537,0.15475081,0.51805884,0.15992646,0.5188544,0.17628786,0.48337737,0.15041652,0.5003703,0.17104487,0.521554,0.16263902,0.50228417,0.1644376,0.50772935,0.16040711,0.5085877,0.16325071,0.5150897,0.16925256
A Fool's Theme - Brian Bolger,1057.9921261038949,40959.840084030126,0.8547607,23.105885,1.5863414e-05,-9.637506e-06,0.025367228,0.0010103934,99.38401442307692,0.52283376,0.13966511,0.5026857,0.14357002,0.53093326,0.12641262,0.5234524,0.1257938,0.48880666,0.13791879,0.505831,0.14321299,0.5145454,0.14443319,0.49016693,0.15057214,0.5075483,0.14793144,0.47434637,0.13621391,0.48476487,0.13765498,0.49750966,0.14420176,0.5075316,0.13342966,0.49474928,0.1468701,0.47399515,0.13343339,0.54178923,0.13648781,0.51071984,0.13613875,0.50437284,0.13302705,0.5012113,0.12938124,0.51566356,0.15946543,0.4793574,0.15698758,0.50088376,0.15472014,0.47754687,0.15909433,0.5124198,0.15610681,0.4918868,0.16227168,0.49298653,0.16655214,0.46826735,0.16023357,0.51436883,0.1613164,0.51219046,0.15772812,0.536678,0.15831894,0.5145627,0.16289529,0.4575704,0.1684595,0.5011613,0.16110106,0.50319445,0.16165526,0.506328,0.15147993,0.47268778,0.15829934,0.5110141,0.16303955,0.5005293,0.16582534,0.55088377,0.16166377,0.4927043,0.15958786,0.50226355,0.15897134,0.49218148,0.15820356,0.5300728,0.15518828,0.4908412,0.15357414,0.51446235,0.15833074,0.48389396,0.1664364,0.503306,0.16939053,0.509181,0.15277117
A Year Ago (Instrumental) - NEFFEX,880.2777694528634,169524.63948829717,0.5562914,19.459114,-8.5973704e-07,8.907341e-06,0.021984367,0.0005957292,178.20581896551724,0.48619208,0.14465691,0.49702153,0.14467138,0.54779255,0.13882901,0.5199992,0.13800754,0.4565974,0.13593033,0.46502277,0.1563572,0.4674083,0.15293576,0.4848274,0.1427426,0.49112394,0.14205495,0.5242467,0.13744496,0.4818621,0.14154209,0.47758648,0.124217354,0.5067741,0.15719947,0.4878629,0.1544747,0.47170892,0.14120342,0.49893907,0.12907375,0.4885377,0.14906916,0.45940897,0.1459803,0.51881504,0.12989807,0.52820414,0.15668826,0.5346478,0.1674659,0.5604559,0.15626845,0.5429723,0.16619524,0.5421737,0.17665742,0.49706763,0.17045298,0.49477014,0.16153172,0.5058218,0.15388393,0.542146,0.1555167,0.50743914,0.15717858,0.52520275,0.17183463,0.4870925,0.161554,0.5343428,0.15372463,0.50367755,0.16608515,0.46456861,0.16908388,0.510543,0.15198316,0.5513402,0.15443143,0.50480455,0.15834343,0.508679,0.15155926,0.52797663,0.16175446,0.49377185,0.15560053,0.54651535,0.15738058,0.53345996,0.16096881,0.48912197,0.16097243,0.52120554,0.16977338,0.4483303,0.16884904,0.51678455,0.17062351,0.5064386,0.16196267,0.492381,0.16256426
