19th Floor - Bobby Richards,"[ 0.02691766  0.01892286  0.01095054 ... -0.00640842  0.00021915
 -0.02442983]"
19th Floor - Bobby Richards,"[-1.8636630e-01 -1.8697366e-01 -1.4328650e-01 ... -9.4660591e-06
 -9.3302833e-06 -5.0460467e-06]"
2022 로스트아크 콘서트,"[ 0.          0.          0.         ... -0.02561669 -0.03032651
 -0.03443858]"
2022 로스트아크 콘서트,"[ 0.05731506  0.05283755  0.0511737  ... -0.19999813 -0.21734017
 -0.2435208 ]"
2022 로스트아크 콘서트,"[-0.12164684 -0.11191734 -0.05934257 ... -0.01605231 -0.03417119
 -0.07287958]"
2022 로스트아크 콘서트,"[-0.05820646 -0.08051047 -0.0811794  ...  0.0250179  -0.0070122
 -0.03894392]"
2022 로스트아크 콘서트,"[-0.03905305 -0.03128339 -0.01173355 ...  0.08543334  0.13900283
  0.20143062]"
A Fool's Theme - Brian Bolger,[0.01099467 0.01320873 0.01076368 ... 0.0162899  0.02227557 0.02300867]
A Fool's Theme - Brian Bolger,"[ 0.02471135  0.03171972  0.0317353  ... -0.02231226 -0.01273612
  0.01021814]"
A Year Ago (Instrumental) - NEFFEX,"[1.8545581e-06 1.6032741e-06 1.4153852e-06 ... 2.9991360e-02 2.1749383e-02
 6.4160571e-02]"
A Year Ago (Instrumental) - NEFFEX,[0.05415333 0.03019247 0.04614691 ... 0.08201233 0.11347944 0.15339646]
A Year Ago - NEFFEX,"[ 0.00145911  0.00122926  0.00094624 ...  0.21871215 -0.05898359
 -0.31747103]"
A Year Ago - NEFFEX,"[-0.3197035  -0.04449736 -0.09884045 ... -0.12471272 -0.11582894
 -0.15944381]"
Addict (Instrumental) - NEFFEX,"[ 0.          0.          0.         ... -0.03526758 -0.03071757
 -0.05549267]"
Addict (Instrumental) - NEFFEX,"[-0.04767669 -0.02180663 -0.0115267  ...  0.04453549  0.01682302
  0.05784569]"
Addict (Instrumental) - NEFFEX,"[ 0.12439175  0.08601829  0.0592296  ... -0.07139692 -0.10768399
 -0.17264053]"
Addict - NEFFEX,"[1.4463745e-05 1.6406137e-05 5.5806369e-05 ... 7.9176739e-02 5.0052408e-02
 4.6359140e-02]"
Addict - NEFFEX,"[ 0.09432783  0.07339717  0.10747074 ... -0.10956874 -0.12533493
 -0.07989309]"
Addict - NEFFEX,"[-0.0026664   0.11406697  0.04044092 ... -0.02857617 -0.04617168
 -0.07481112]"
Anomalous Hedges - Mini Vandals,"[ 1.4611039e-06  1.0073148e-06  2.3384905e-07 ... -1.8258868e-02
 -1.6467970e-02 -1.7283078e-02]"
Anomalous Hedges - Mini Vandals,"[-0.00073123  0.00734855  0.01042014 ... -0.03392604 -0.0357153
 -0.03621885]"
Anomalous Hedges - Mini Vandals,"[ 0.02155677  0.02020503  0.02063811 ... -0.0258254  -0.02997011
 -0.03819419]"
Anomalous Hedges - The Mini Vandals,"[ 1.4611039e-06  1.0073148e-06  2.3384905e-07 ... -1.8258868e-02
 -1.6467970e-02 -1.7283078e-02]"
Anomalous Hedges - The Mini Vandals,"[-0.00073123  0.00734855  0.01042014 ... -0.03392604 -0.0357153
 -0.03621885]"
Anomalous Hedges - The Mini Vandals,"[ 0.02155677  0.02020503  0.02063811 ... -0.0258254  -0.02997011
 -0.03819419]"
As You Fade Away - NEFFEX,[0.00121245 0.00212085 0.00283197 ... 0.09108675 0.0407122  0.05072213]
As You Fade Away - NEFFEX,"[-0.00999048  0.14962366  0.19829382 ... -0.00144289 -0.00166349
 -0.0037639 ]"
As You Fade Away - NEFFEX,"[ 0.04235423  0.0220522   0.01528003 ...  0.0263777  -0.0190681
 -0.11640687]"
As You Fade Away - NEFFEX,"[-0.27563947 -0.12977925 -0.00853975 ... -0.00750853 -0.02196417
 -0.02511277]"
Awful - josh pan,"[-0.00010501 -0.00010627 -0.0001032  ... -0.07492166 -0.07699788
 -0.07930316]"
Awful - josh pan,"[-0.07036133 -0.06649152 -0.06283312 ...  0.01297283  0.01309637
  0.01309086]"
Awful - josh pan,"[-0.00420226 -0.0037275  -0.00569447 ... -0.12370186 -0.09678992
 -0.10790157]"
Backwoods BBQ - Chris Haugen,"[1.9287812e-05 2.1605572e-05 2.0416779e-05 ... 4.2269621e-02 3.5483688e-02
 4.4134784e-02]"
Bay Street Billionaires - Squadda B,"[7.0094669e-05 7.1682160e-05 7.5607233e-05 ... 4.2243715e-02 2.1982878e-02
 4.5924116e-02]"
Bay Street Billionaires - Squadda B,"[ 0.04799029  0.04978316  0.07399722 ... -0.07746854  0.03317737
  0.06240785]"
Baym Rebin in Palestina - E's Jammy Jams,"[ 0.0000000e+00 -2.2592443e-17  1.7844447e-16 ... -1.6571902e-02
 -1.7696470e-02 -1.2840060e-02]"
Baym Rebin in Palestina - E's Jammy Jams,[0.03073969 0.02923693 0.03140824 ... 0.03535666 0.02460769 0.03051633]
Baym Rebin in Palestina - E's Jammy Jams,[0.02418439 0.01091336 0.01915408 ... 0.05276988 0.05202323 0.06672879]
Baym Rebin in Palestina - E's Jammy Jams,"[ 0.08684185  0.05545143  0.05536343 ...  0.00110707  0.00069003
 -0.00080005]"
Baym Rebin in Palestina - E's Jammy Jams,"[-4.9114889e-03 -4.1733072e-03 -7.5439205e-03 ... -6.3148484e-08
 -1.0908631e-07 -2.5772491e-07]"
Believe (Instrumental) - NEFFEX,"[ 1.6044153e-09 -4.1762813e-10 -1.3180671e-09 ... -2.0416934e-02
 -2.4652770e-02 -3.1360574e-02]"
Believe (Instrumental) - NEFFEX,[0.01382196 0.01297032 0.00586139 ... 0.22252148 0.23763855 0.1837535 ]
Believe - NEFFEX,"[ 2.8353903e-05  4.6988891e-05  4.8603626e-05 ... -4.2798542e-03
 -5.3570489e-03 -8.7476596e-03]"
